Time,TP PRELAZ 056_A+_001,TP PRELAZ 056_A-_101,TP CELJSKA CESTA 2694_A+_201,TP CELJSKA CESTA 2694_A-_301,TP BENCINSKI SERVIS 3 2781_A+_401,TP BENCINSKI SERVIS 3 2781_A-_501
,kW,kW,kW,kW,kW,kW
05/01/2023 06:15,0,0,51.84,0,14.328,0
05/01/2023 06:30,0,0,51.84,0,14.088,0
05/01/2023 06:45,0,0,52.48,0,14.064,0
05/01/2023 07:00,0,0,50.88,0,13.284,0
05/01/2023 07:15,0,0,62.48,0,16.08,0
05/01/2023 07:30,0,0,58.8,0,14.928,0
05/01/2023 07:45,0,0,59.84,0,12.78,0
05/01/2023 08:00,0,0,73.44,0,14.04,0
05/01/2023 08:15,0,0,69.6,0,15.876,0
05/01/2023 08:30,0,0,69.2,0,14.928,0
05/01/2023 08:45,0,0,67.68,0,13.044,0
05/01/2023 09:00,0,0,66.64,0,13.608,0
05/01/2023 09:15,0,0,69.68,0,17.928,0
05/01/2023 09:30,0,0,69.36,0,12.936,0
05/01/2023 09:45,0,0,66.8,0,15.012,0
05/01/2023 10:00,0,0,64.48,0,13.188,0
05/01/2023 10:15,0,0,77.28,0,14.364,0
05/01/2023 10:30,0,0,95.44,0,16.488,0
05/01/2023 10:45,0,0,104.88,0,17.688,0
05/01/2023 11:00,0,0,92.72,0,18.324,0
05/01/2023 11:15,0,0,91.28,0,11.64,0
05/01/2023 11:30,0,0,78.48,0,12.312,0
05/01/2023 11:45,0,0,64.64,0,17.04,0
05/01/2023 12:00,0,0,64.24,0,16.26,0
05/01/2023 12:15,0,0,71.44,0,17.34,0
05/01/2023 12:30,0,0,70.16,0,16.068,0
05/01/2023 12:45,0,0,66.64,0,17.568,0
05/01/2023 13:00,0,0,79.12,0,10.26,0
05/01/2023 13:15,0,0,84.16,0,16.272,0
05/01/2023 13:30,0,0,88.16,0,14.22,0
05/01/2023 13:45,0,0,81.12,0,18.96,0
05/01/2023 14:00,0,0,89.44,0,15.756,0
05/01/2023 14:15,0,0,70.48,0,14.844,0
05/01/2023 14:30,0,0,69.2,0,17.376,0
05/01/2023 14:45,0,0,69.52,0,15.564,0
05/01/2023 15:00,0,0,72.16,0,16.368,0
05/01/2023 15:15,0,0,76,0,17.388,0
05/01/2023 15:30,0,0,81.84,0,17.28,0
05/01/2023 15:45,0,0,84.32,0,16.98,0
05/01/2023 16:00,0,0,82.32,0,18.108,0
05/01/2023 16:15,0,0,72.8,0,17.172,0
05/01/2023 16:30,0,0,79.52,0,20.928,0
05/01/2023 16:45,0,0,83.92,0,20.232,0
05/01/2023 17:00,0,0,83.44,0,23.592,0
05/01/2023 17:15,0,0,77.36,0,23.628,0
05/01/2023 17:30,0,0,81.44,0,21.528,0
05/01/2023 17:45,0,0,81.04,0,18.552,0
05/01/2023 18:00,0,0,80.24,0,19.116,0
05/01/2023 18:15,0,0,73.12,0,18.36,0
05/01/2023 18:30,0,0,78.96,0,20.004,0
05/01/2023 18:45,0,0,78.08,0,20.052,0
05/01/2023 19:00,0,0,79.6,0,20.148,0
05/01/2023 19:15,0,0,84.08,0,19.056,0
05/01/2023 19:30,0,0,93.52,0,15.96,0
05/01/2023 19:45,0,0,83.84,0,13.8,0
05/01/2023 20:00,0,0,76.88,0,12.444,0
05/01/2023 20:15,0,0,73.36,0,9.456,0
05/01/2023 20:30,0,0,75.92,0,10.812,0
05/01/2023 20:45,0,0,70,0,10.656,0
05/01/2023 21:00,0,0,66.88,0,10.428,0
05/01/2023 21:15,0,0,68.32,0,10.308,0
05/01/2023 21:30,0,0,68.64,0,12.06,0
05/01/2023 21:45,0,0,71.76,0,12.192,0
05/01/2023 22:00,0,0,66.72,0,10.704,0
05/01/2023 22:15,0,0,64.96,0,11.184,0
05/01/2023 22:30,0,0,61.68,0,11.508,0
05/01/2023 22:45,0,0,62.16,0,10.86,0
05/01/2023 23:00,0,0,57.2,0,9.66,0
